Character List/ID Reference

Alts and Dubs are at the bottom of this file.

Internal Name   	|  Display Name
-------------------------------
[2b         		] YorHa No.2 TypeB
[2d         		] 2D
[8lnk       		] 8bit Link
[adachi     		] Tohru Adachi
[adeleine       	] Adeleine
[aerith         	] Aerith
[agent3				] Agent 3
[aiai    			] AiAi
[aigis  			] Aigis
[amogus         	] Crewmate
[amy            	] Amy
[ankha          	] Ankha
[announcement   	] Cardboard Eggman
[aosthrobotnik  	] AoStH Robotnik
[arle  				] Arle
[armstrong  		] Armstrong
[arthur   			] Arthur Kingsmen
[athf      			] ATHF Cart
[avgn   	    	] AVGN
[baba           	] Baba & Keke
[bandana_dee  		] Bandana Dee
[banjo    			] Banjo & Kazooie
[bayonetta  		] Bayonetta
[bigthecat      	] Big the Cat
[billyh         	] Billy Hatcher
[blaze 				] Blaze
[blackdoom 			] Black Doom
[blitztank      	] Blitztank
[bob            	] Bob
[bomberman  		] BomberMan
[bowser     		] Bowser
[bread          	] Bread
[bridget        	] Bridget
[buff_riku   		] Buff Riku
[bulborb  			] Bulborb
[bulma          	] Bulma
[bunnie         	] Bunnie
[callie_ss   		] Callie
[carl           	] Carl
[carol   	    	] Carol
[caterkiller    	] Caterkiller
[chaos 				] Chaos Zero
[chiaki         	] Chiaki Nanami
[chibinaoto 		] Chibi Naoto
[chie   			] Chie
[classickirby   	] Classic Kirby
[coldsteel   		] Coldsteel
[cola			 	] Cola
[colettebrunel  	] Colette
[coop           	] Coop
[cordelia 			] Cordelia
[cosmo  			] Cosmo
[cptfalcon			] Captain Falcon
[crash_b		 	] Crash Bandicoot
[crono   	    	] Crono
[ctrspyro       	] Spyro
[daisy      		] Daisy
[dantekrt  			] Dante
[darkmatter 		] Dark Matter
[demi-fiend 		] Demi-Fiend
[dicsonic       	] DiC Sonic
[dimentio   		] Dimentio
[donkeykong64		] Donkey Kong (64)
[doom   			] Doomguy
[dougdimmadome		] Doug Dimmadome
[dougwalker			] Nostalgia Critic
[ecco           	] Ecco
[echostrike     	] Echo
[eggman         	] Dr. Eggman
[ena            	] Ena
[eunie  			] Eunie
[fed				] Fed
[flonne         	] Flonne
[freeza2nd			] Freeza
[frog_in_a_car  	] Frog in a Car
[frye        		] Frye
[funky   			] Funky Kong
[gamma          	] E-102 Gamma
[ganondorf      	] Ganondorf
[gardevoir      	] Gardevoir
[geno           	] Geno
[goku           	] Goku
[goose          	] Goose
[gordon_freeman 	] Gordon Freeman
[grounder       	] Grounder
[gum   				] Gum
[gustavoandbrick	] Gustavo & Brick
[haru           	] Haru
[hatkid      		] Hat Kid
[heavy      		] Heavy
[heisenberg 		] Walter White
[hoes_mad			] Erdrick
[homer      		] Homer Simpson
[hornet     		] Hornet
[hornets   			] Hornets
[hotelmario     	] Hotel Mario
[infinite       	] Infinite
[initiald 			] AE86 Trueno
[jennyxj9     		] Jenny / XJ-9
[jerma985 			] Jerma985
[jessica     		] Jessica
[joemusashi     	] Joe Musashi
[johnnybravo 		] Johnny Bravo
[johnward       	] John Ward
[jon_arbuckle		] Jon
[jonesy     		] Jonesy Fortnite
[jotaro   			] Jotaro
[juliakart      	] Julia
[kaneda    			] Shotaro Kaneda
[kat            	] Kat
[kelsora   			] Sora
[kermitthefrog  	] Kermit
[kingddd        	] King DeDeDe
[kingkrool			] King K Rool
[kirby          	] Kirby
[kiryu   			] Kiryu Kazuma
[knuckles       	] Knuckles
[korone    			] Korone Inugami
[krabs       		] Mr. Krabs
[kumatora   		] Kumatora
[l4dfrancis     	] Francis
[leac        		] Lea
[lc-employee		] Employee (LC)
[lilac      		] Sash Lilac
[linkandepona		] Link & Epona
[linkgb      		] Link
[lowtiergod			] LowTierGod
[lucas          	] Lucas
