Regular Horns
#1: OOH-A-A-A-AA
#2: SMAAAAASHH! - Earthbound
#3: Donkey Kong Busts a Fat Nut
#4: Hello - Dark Souls
#5: OK - Donkey Kong 64
#6: A I R H O R N
#7: ASS - AVGN
#8: Alert - Metal Gear Solid
#9: AEIOU - Moonbase Alpha
#10: A - E Sports
#11: Disturbed Grunt
#12: Gwar Gura A
#13: [beeps in Japanese] - Melty Blood
#14: Yahoo! - Super Mario 64
#15: No - Hotel Mario
#16: Banded Bullfrog Elegant Sound #8
#17: bruh
#18: Squeaks in Spanish Deluxe
#19: *BASS~* - Bassline Yatteru? w
#20: Betrayal. - Halo 3
#21: bup
#22: SPEEN!! - Vinesauce
#23: I'm die, thank you forever - Korone
#24: American Woodcock
#25: COME ON! - Sonic 3
#26: EH REH
#27: SuCk My MuThAfUcKiN diiiiiiiiiiicK - Tory Stoy
#28: Howie Scream
#29: Omoae wa Mo Shinderu - Fist of the North Star
#30: My Man - Peppy
#31: (MARIO WHEREVER YOU ARE) HEEEEEEEEELLLP
#32: Waht the FUQ - Hunt Down the Freeman
#33: Lizard Shitpost
#34: NOOOOOOOO - The Office
#35: Carl Wheezer Moan
#36: WORT WORT WORT - Halo
#37: Candy Corn Vomit - JonTron
#38: Sanctuary Guardian - Earthbound
#39: Kasplat - Donkey Kong 64
#40: Snapper Talk - Majora's Mask
#41: Maybe it's the way you're dressed.
#42: Donkey Kong Gets Hit in the Dong
#43: Falco Expresses His Displeasure at the Current Situation
#44: Bababooey - Joel Vinesauce
#45: E - A Sports
#46: WRRRRRRRYYYYYYY
#47: Windows XP Error
#48: Lego Yoda Fucking Dies
#49: We'll be Right Back!
#50: ROCK AND STONE
#51: C H E E S E - Scout
#52: Deer Scream
#53: Markiplier Makes a Startling Discovery
#54: CWOSSOINT
#55: French Commentator Scream 1
#56: I am now...ANGRY - Warhammer 40k TTS
#57: *blip* - Super Smash Bros. Melee
#58: PENIS! - Demolition Man
#59: Kargoroc Sound
#60: HAM-BUR-GER
#61: MuUaAHaAa the French
#62: Startup - Game Boy Advance
#63: GameCube startup
#64: This isn't Mario Kart - Critical
#65: Screaming Goat
#66: The perfect weapon.
#67: Hey it's me, Goku!
#68: (HEY! MARIO!) WAAAAaaahhhh...
#69: AHHHH WOULBERDUH - Halo Elite
#70: Brep
#71: Brappa
#72: Deauahhh - Will Smith
#73: NUH YEHT
#74: Brungus the Pokemon
#75: hey - Sonic 06
#76: SEXBOOB
#77: HELLO - Dragonball FighterZ
#78: toby_macguire_has_giantess_miku_reach_into_his_house
#79: EAT MY ASS
#80: BWAH - Inception
#81: Sound of Frog Being Captured
#82: DIE YOU LITTLE SHIT - MGR:R
#83: THAT'S CHEATING YOU PIECES OF SHIT - SomecallmeJohnny
#84: EGG - Hat in Time
#85: WoW Human Male Aggro Sound
#86: A single Regirock UN
#87: DUN DUN - Law and Order
#88: Tom Scream
#89: Dash Rendar in Pain
#90: The Loudest Sound Ever Recorded - Apple
#91: My New Favorite Bodily Sound
#92: Sonic - NAOOOOOOOO
#93: DO IT - My Boy Sheev
#94: THAT'S A LOT OF NUTS! - Kung Pow
#95: La Cucaracha horn - Microsoft Plus! for Windows 95
#96: BOIT
#97: You already know what this is
#98: Tidus Laugh - FFX
#99: Anime Girl Desires Burger
#100: WOW - Michael Jackson's Moonwalker
#101: GUUUUAAARRRGH - Regirock
#102: Desk Slam - Ace Attorney
#103: Crackle - MLP:FiM
#104: Mahina
#105: Badlands Chugs Reasonable Length Burp
#106: huuuHUUAAAhuh - Pretty Cool Bananas
#107: Miss! - Mario Party
#108: Cultist gets Lit on Fire - BLOOD
#109: Cultist gets Spooked - BLOOD
#110: Nice - Dictionary.com
#111: Me?
#112: Gongaga.
#113: Sora Drains his Twink Nugs inside Kairi
#114: Mahin-a-A-OOOHHH
#115: Oh These Are Pretty Cool Bananas
#116: NAOOOOO - Sonic Adventure 1
#117: Phoomphf
